SK_ID_CURR,TARGET
SK_ID_CURR,TARGET
100004,NULL
100006,0
100012,NULL
100014,0
100015,0
100017,0
100018,0
100019,0
100030,0
100032,0
100034,NULL
100035,0
100040,0
100043,NULL
100045,0
100048,0
100049,1
100051,0
100055,NULL
100058,NULL
100059,0
100060,0
100062,0
100063,NULL
100069,0
100071,0
100078,0
100086,0
100088,NULL
100098,0
100100,0
100103,0
100104,0
100105,0
100112,NULL
100113,0
100114,0
100119,0
100120,0
100121,0
100122,0
100126,NULL
100133,0
100134,NULL
100138,0
100139,0
100143,0
100148,0
100153,NULL
100156,0
100157,NULL
100159,0
100161,NULL
100167,0
100175,NULL
100176,0
100178,NULL
100182,0
100186,NULL
100188,NULL
100192,1
100194,0
100197,0
100198,0
100200,0
100205,NULL
100206,0
100208,NULL
100209,1
100210,0
100211,0
100214,1
100215,NULL
100217,NULL
100218,0
100226,0
100228,0
100229,NULL
100234,0
100238,0
100240,0
100242,NULL
100246,1
100247,0
100254,0
100258,0
100260,0
100261,NULL
100262,0
100267,0
100272,NULL
100274,0
100276,0
100282,1
100285,0
100286,1
100288,0
100290,NULL
100293,0
100296,0
100301,1
100305,0
100308,0
100314,0
100320,0
100321,0
100326,1
100335,0
100337,0
100339,0
100343,0
100347,0
100350,NULL
100353,0
100357,0
100359,0
100361,0
100369,NULL
100371,NULL
100374,0
100376,0
100378,NULL
100383,0
100387,NULL
100388,0
100390,0
100392,0
100394,0
100395,0
100396,1
100397,0
100405,0
100407,0
100408,NULL
100413,0
100417,0
100420,NULL
100425,0
100431,NULL
100436,0
100443,0
100449,0
100457,0
100461,0
100463,NULL
100464,0
100465,0
100469,0
100472,1
100474,NULL
100475,0
100480,0
100481,0
100482,NULL
100485,1
100488,NULL
100495,0
100497,0
100501,0
100506,0
100519,0
100521,NULL
100522,0
100524,NULL
100525,0
100526,0
100530,0
100532,0
100534,0
100537,0
100538,0
100539,0
100544,0
100546,NULL
100554,0
100555,0
100558,NULL
100563,0
100570,0
100571,0
100574,NULL
100581,0
100586,0
100590,0
100595,0
100598,NULL
100601,0
100606,NULL
100609,0
100610,0
100611,0
100612,0
100616,1
100619,0
100621,0
100628,0
100633,0
100635,0
100640,0
100642,0
100646,1
100649,1
100650,NULL
100652,NULL
100658,0
100661,0
100671,0
100680,0
100681,0
100690,NULL
100691,0
100692,0
100693,0
100695,0
100696,NULL
100697,0
100700,0
100708,0
100709,NULL
100710,0
100712,0
100723,0
100724,0
100728,NULL
100732,0
100733,NULL
100741,0
100743,0
100748,0
100749,0
100750,0
100759,0
100773,0
100789,NULL
100793,0
100795,0
100796,1
100798,0
100800,0
100802,NULL
100803,0
100805,NULL
100806,NULL
100807,0
100810,0
100811,NULL
100815,0
100816,1
100819,0
100827,0
100828,0
100835,NULL
100837,0
100842,NULL
100843,0
100845,0
100846,0
100848,0
100850,0
100851,0
100852,0
100857,0
100874,NULL
100877,0
100880,0
100888,NULL
100890,0
100891,0
100892,0
100894,NULL
100896,1
100899,NULL
100900,0
100915,0
100922,0
100932,0
100941,0
100942,NULL
100945,1
100947,0
100949,0
100950,0
100959,0
100964,0
100972,0
100977,0
100978,0
100980,0
100981,0
100991,0
100992,1
100994,0
101000,0
101001,0
101007,0
101012,0
101015,0
101029,NULL
101030,NULL
101035,0
101037,NULL
101039,0
101043,0
101048,0
101052,0
101058,0
101060,NULL
101065,NULL
101066,0
101071,NULL
101074,0
101078,0
101081,0
101086,0
101091,0
101110,0
101117,0
101127,1
101131,0
101133,0
101142,1
101144,0
101147,1
101151,NULL
101152,0
101154,0
101155,0
101161,0
101164,NULL
101165,1
101166,0
101171,0
101173,0
101175,0
101185,0
101196,NULL
101201,1
101206,NULL
101207,0
101212,NULL
101215,0
101218,0
101219,0
101220,0
