Country Name,2016
Aruba,104822
Afghanistan,34656032
Angola,28813463
Albania,2876101
Andorra,77281
Arab World,406452690
United Arab Emirates,9269612
Argentina,43847430
Armenia,2924816
American Samoa,55599
Antigua and Barbuda,100963
Australia,24210809
Austria,8736668
Azerbaijan,9757812
Burundi,10524117
Belgium,11331422
Benin,10872298
Burkina Faso,18646433
Bangladesh,162951560
Bulgaria,7127822
Bahrain,1425171
"Bahamas, The",391232
Bosnia and Herzegovina,3516816
Belarus,9501534
Belize,366954
Bermuda,65341
Bolivia,10887882
Brazil,207652865
Barbados,284996
Brunei Darussalam,423196
Bhutan,797765
Botswana,2250260
Central African Republic,4594621
Canada,36264604
Switzerland,8373338
Channel Islands,164541
Chile,17909754
China,1378665000
Cote d'Ivoire,23695919
Cameroon,23439189
"Congo, Dem. Rep.",78736153
"Congo, Rep.",5125821
Colombia,48653419
Comoros,795601
Cabo Verde,539560
Costa Rica,4857274
Cuba,11475982
Curacao,159663
Cayman Islands,60765
Cyprus,1170125
Czech Republic,10566332
Germany,82348669
Djibouti,942333
Dominica,73543
Denmark,5728010
Dominican Republic,10648791
Algeria,40606052
Ecuador,16385068
"Egypt, Arab Rep.",95688681
Euro area,340617355
Spain,46484062
Estonia,1315790
Ethiopia,102403196
Finland,5495303
Fiji,898760
France,66859768
Faroe Islands,49117
"Micronesia, Fed. Sts.",104937
Gabon,1979786
United Kingdom,65595565
Georgia,3719300
Ghana,28206728
Gibraltar,34408
Guinea,12395924
"Gambia, The",2038501
Guinea-Bissau,1815698
Equatorial Guinea,1221490
Greece,10775971
Grenada,107317
Greenland,56186
Guatemala,16582469
Guam,162896
Guyana,773303
"Hong Kong SAR, China",7336600
Honduras,9112867
Croatia,4174349
Haiti,10847334
Hungary,9814023
Indonesia,261115456
IDA only,1053193646
Isle of Man,83737
India,1324171354
Ireland,4755335
"Iran, Islamic Rep.",80277428
Iraq,37202572
Iceland,335439
Israel,8546000
Italy,60627498
Jamaica,2881355
Jordan,9455802
Japan,126994511
Kazakhstan,17794055
Kenya,48461567
Kyrgyz Republic,6079500
Cambodia,15762370
Kiribati,114395
St. Kitts and Nevis,54821
"Korea, Rep.",51245707
Kuwait,4052584
Lao PDR,6758353
Lebanon,6006668
Liberia,4613823
Libya,6293253
St. Lucia,178015
Latin America & Caribbean,637663890
Liechtenstein,37666
Sri Lanka,21203000
Lesotho,2203821
Lithuania,2868231
Luxembourg,582014
Latvia,1959537
"Macao SAR, China",612167
St. Martin (French part),31949
Morocco,35276786
Monaco,38499
Moldova,3551954
Madagascar,24894551
Maldives,427756
Mexico,127540423
Marshall Islands,53066
"Macedonia, FYR",2081206
Mali,17994837
Malta,455356
Myanmar,52885223
Montenegro,622303
Mongolia,3027398
Northern Mariana Islands,55023
Mozambique,28829476
Mauritania,4301018
Mauritius,1263473
Malawi,18091575
Malaysia,31187265
North America,359735880
Namibia,2479713
New Caledonia,276550
Niger,20672987
Nigeria,185989640
Nicaragua,6149928
Netherlands,17030314
Norway,5234519
Nepal,28982771
Nauru,13049
New Zealand,4693200
Oman,4424762
Other small states,30012500
Pakistan,193203476
Panama,4034119
Peru,31773839
Philippines,103320222
Palau,21503
Papua New Guinea,8084991
Poland,37970087
Puerto Rico,3406520
"Korea, Dem. Peopleâ€™s Rep.",25368620
Portugal,10325452
Paraguay,6725308
West Bank and Gaza,4551566
Pacific island small states,2388875
French Polynesia,280208
Qatar,2569804
Romania,19702332
Russian Federation,144342396
Rwanda,11917508
South Asia,1766393714
Saudi Arabia,32275687
Sudan,39578828
Senegal,15411614
Singapore,5607283
Solomon Islands,599419
Sierra Leone,7396190
El Salvador,6344722
San Marino,33203
Somalia,14317996
Serbia,7058322
Sub-Saharan Africa (excluding high income),1033118066
South Sudan,12230730
Sub-Saharan Africa,1033212743
Small states,39646847
Sao Tome and Principe,199910
Suriname,558368
Slovak Republic,5430798
Slovenia,2065042
Sweden,9923085
Swaziland,1343098
Sint Maarten (Dutch part),39969
Seychelles,94677
Syrian Arab Republic,18430453
Turks and Caicos Islands,34900
Chad,14452543
Togo,7606374
Thailand,68863514
Tajikistan,8734951
Turkmenistan,5662544
Timor-Leste,1268671
Tonga,107122
Trinidad and Tobago,1364962
Tunisia,11403248
Turkey,79512426
Tuvalu,11097
Tanzania,55572201
Uganda,41487965
Ukraine,45004645
Uruguay,3444006
United States,323405935
Uzbekistan,31847900
St. Vincent and the Grenadines,109643
"Venezuela, RB",31568179
British Virgin Islands,30661
Virgin Islands (U.S.),107510
Vietnam,94569072
Vanuatu,270402
World,7444157356
Samoa,195125
Kosovo,1816200
"Yemen, Rep.",27584213
South Africa,56015473
Zambia,16591390
Zimbabwe,16150362
