Index,country,Countrycode,2015
15,Burundi,108,10199
16,Comoros,174,777
17,Djibouti,262,927
18,Eritrea,232,4847
19,Ethiopia,231,99873
20,Kenya,404,47236
21,Madagascar,450,24234
22,Malawi,454,17574
23,Mauritius,480,1259
24,Mayotte,175,240
25,Mozambique,508,28011
26,R_union,638,863
27,Rwanda,646,11630
28,Seychelles,690,94
29,Somalia,706,13908
30,SouthSudan,728,11882
31,Uganda,800,40145
32,UnitedRepublicofTanzania,834,53880
33,Zambia,894,16101
34,Zimbabwe,716,15777
36,Angola,24,27859
37,Cameroon,120,22835
38,CentralAfricanRepublic,140,4546
39,Chad,148,14009
40,Congo,178,4996
41,DemocraticRepublicoftheCongo,180,76197
42,EquatorialGuinea,226,1175
43,Gabon,266,1930
44,SaoTomeandPrincipe,678,196
46,Algeria,12,39872
47,Egypt,818,93778
48,Libya,434,6235
49,Morocco,504,34803
50,Sudan,729,38648
51,Tunisia,788,11274
52,WesternSahara,732,526
54,Botswana,72,2209
55,Lesotho,426,2175
56,Namibia,516,2426
57,SouthAfrica,710,55291
58,Swaziland,748,1319
60,Benin,204,10576
61,BurkinaFaso,854,18111
62,CaboVerde,132,533
63,Cªted'Ivoire,384,23108
64,Gambia,270,1978
65,Ghana,288,27583
66,Guinea,324,12092
67,Guinea-Bissau,624,1771
68,Liberia,430,4500
69,Mali,466,17468
70,Mauritania,478,4182
71,Niger,562,19897
72,Nigeria,566,181182
73,SaintHelena,654,4
74,Senegal,686,14977
75,SierraLeone,694,7237
76,Togo,768,7417
79,China,156,1397029
80,"China,HongKongSAR",344,7246
81,"China,MacaoSAR",446,601
82,"China,TaiwanProvinceofChina",158,23486
83,Dem.People'sRepublicofKorea,408,25244
84,Japan,392,127975
85,Mongolia,496,2977
86,RepublicofKorea,410,50594
89,Kazakhstan,398,17750
90,Kyrgyzstan,417,5865
91,Tajikistan,762,8549
92,Turkmenistan,795,5565
93,Uzbekistan,860,30976
95,Afghanistan,4,33736
96,Bangladesh,50,161201
97,Bhutan,64,787
98,India,356,1309054
99,Iran(IslamicRepublicof),364,79360
100,Maldives,462,418
101,Nepal,524,28656
102,Pakistan,586,189381
103,SriLanka,144,20714
105,BruneiDarussalam,96,418
106,Cambodia,116,15518
107,Indonesia,360,258162
108,LaoPeople'sDemocraticRepublic,418,6664
109,Malaysia,458,30723
110,Myanmar,104,52404
111,Philippines,608,101716
112,Singapore,702,5535
113,Thailand,764,68658
114,Timor-Leste,626,1241
115,VietNam,704,93572
117,Armenia,51,2917
118,Azerbaijan,31,9617
119,Bahrain,48,1372
120,Cyprus,196,1161
121,Georgia,268,3952
122,Iraq,368,36116
123,Israel,376,8065
124,Jordan,400,9159
125,Kuwait,414,3936
126,Lebanon,422,5851
127,Oman,512,4200
128,Qatar,634,2482
129,SaudiArabia,682,31557
130,StateofPalestine,275,4663
131,SyrianArabRepublic,760,18735
132,Turkey,792,78271
133,UnitedArabEmirates,784,9154
134,Yemen,887,26916
137,Belarus,112,9486
138,Bulgaria,100,7177
139,Czechia,203,10604
140,Hungary,348,9784
141,Poland,616,38265
142,RepublicofMoldova,498,4066
143,Romania,642,19877
144,RussianFederation,643,143888
145,Slovakia,703,5439
146,Ukraine,804,44658
148,ChannelIslands,830,164
149,Denmark,208,5689
150,Estonia,233,1315
151,FaeroeIslands,234,49
152,Finland,246,5482
153,Iceland,352,330
154,Ireland,372,4700
155,IsleofMan,833,83
156,Latvia,428,1993
157,Lithuania,440,2932
158,Norway,578,5200
159,Sweden,752,9764
160,UnitedKingdom,826,65397
162,Albania,8,2923
163,Andorra,20,78
164,BosniaandHerzegovina,70,3536
165,Croatia,191,4236
166,Gibraltar,292,34
167,Greece,300,11218
168,HolySee,336,1
169,Italy,380,59504
170,Malta,470,428
171,Montenegro,499,628
172,Portugal,620,10418
173,SanMarino,674,33
174,Serbia,688,8851
175,Slovenia,705,2075
176,Spain,724,46398
177,TFYRMacedonia,807,2079
179,Austria,40,8679
180,Belgium,56,11288
181,France,250,64457
182,Germany,276,81708
183,Liechtenstein,438,37
184,Luxembourg,442,567
185,Monaco,492,38
186,Netherlands,528,16938
187,Switzerland,756,8320
190,Anguilla,660,15
191,AntiguaandBarbuda,28,100
192,Aruba,533,104
193,Bahamas,44,387
194,Barbados,52,284
195,BritishVirginIslands,92,30
196,CaribbeanNetherlands,535,25
197,CaymanIslands,136,60
198,Cuba,192,11461
199,Curaçao,531,158
200,Dominica,212,73
201,DominicanRepublic,214,10528
202,Grenada,308,107
203,Guadeloupe,312,450
204,Haiti,332,10711
205,Jamaica,388,2872
206,Martinique,474,386
207,Montserrat,500,5
208,PuertoRico,630,3674
209,SaintKittsandNevis,659,54
210,SaintLucia,662,177
211,SaintVincentandtheGrenadines,670,109
212,SintMaarten(Dutchpart),534,39
213,TrinidadandTobago,780,1360
214,TurksandCaicosIslands,796,34
215,UnitedStatesVirginIslands,850,105
217,Belize,84,359
218,CostaRica,188,4808
219,ElSalvador,222,6312
220,Guatemala,320,16252
221,Honduras,340,8961
222,Mexico,484,125891
223,Nicaragua,558,6082
224,Panama,591,3969
226,Argentina,32,43418
227,Bolivia(PlurinationalStateof),68,10725
228,Brazil,76,205962
229,Chile,152,17763
230,Colombia,170,48229
231,Ecuador,218,16144
232,FalklandIslands(Malvinas),238,3
233,FrenchGuiana,254,269
234,Guyana,328,769
235,Paraguay,600,6639
236,Peru,604,31377
237,Suriname,740,553
238,Uruguay,858,3432
239,Venezuela(BolivarianRepublicof),862,31155
241,Bermuda,60,62
242,Canada,124,35950
243,Greenland,304,56
244,SaintPierreandMiquelon,666,6
245,UnitedStatesofAmerica,840,319929
248,Australia,36,23800
249,NewZealand,554,4615
251,Fiji,242,892
252,NewCaledonia,540,269
253,PapuaNewGuinea,598,7920
254,SolomonIslands,90,587
255,Vanuatu,548,265
257,Guam,316,162
258,Kiribati,296,112
259,MarshallIslands,584,53
260,Micronesia(Fed.Statesof),583,104
261,Nauru,520,11
262,NorthernMarianaIslands,580,55
263,Palau,585,21
265,AmericanSamoa,16,56
266,CookIslands,184,17
267,FrenchPolynesia,258,278
268,Niue,570,2
269,Samoa,882,194
270,Tokelau,772,1
271,Tonga,776,106
272,Tuvalu,798,11
273,WallisandFutunaIslands,876,12
