room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
6499,14455,Entire home/apt,BelÌ©m,8,5,2,1,57
17031,66015,Entire home/apt,Alvalade,0,0,2,1,46
25659,107347,Entire home/apt,Santa Maria Maior,63,5,3,1,69
29248,125768,Entire home/apt,Santa Maria Maior,225,4.5,4,1,58
29396,126415,Entire home/apt,Santa Maria Maior,132,5,4,1,67
29720,128075,Entire home/apt,Estrela,14,5,16,9,1154
29872,128698,Entire home/apt,AlcÌ¢ntara,25,5,2,1,75
29891,128792,Entire home/apt,MisericÌ_rdia,28,5,3,1,49
29915,128890,Entire home/apt,Avenidas Novas,28,4.5,3,1,58
33312,144398,Entire home/apt,MisericÌ_rdia,24,4.5,4,1,66
33348,144484,Private room,Lumiar,2,0,6,1,46
34783,149980,Private room,Estrela,0,0,1,1,54
34977,146695,Entire home/apt,Santa Maria Maior,54,4.5,6,2,60
40817,176410,Entire home/apt,MisericÌ_rdia,229,4.5,2,1,52
42172,184400,Entire home/apt,Santa Maria Maior,45,4.5,6,2,138
42519,136230,Entire home/apt,MisericÌ_rdia,79,4.5,3,1,87
44043,192830,Entire home/apt,Santa Maria Maior,316,5,7,3,80
46567,208343,Private room,Avenidas Novas,3,5,2,1,39
47717,217058,Entire home/apt,Santa Maria Maior,70,4.5,3,1,57
50108,229376,Entire home/apt,Estrela,33,4.5,4,1,69
55116,259744,Private room,Avenidas Novas,1,0,2,2,68
56906,270457,Entire home/apt,SÌ£o Vicente,86,4.5,3,1,52
57850,276092,Entire home/apt,Estrela,52,4.5,3,2,70
59227,184400,Entire home/apt,MisericÌ_rdia,25,4.5,7,3,138
65553,320407,Entire home/apt,Campo de Ourique,102,4.5,2,1,58
65878,322145,Entire home/apt,MisericÌ_rdia,51,5,4,1,76
72807,378525,Private room,Alvalade,1,0,1,1,29
73764,154341,Entire home/apt,Santo AntÌ_nio,18,4.5,2,1,64
75171,184400,Entire home/apt,Estrela,19,4.5,5,2,115
77130,412702,Entire home/apt,MisericÌ_rdia,74,4.5,3,0,52
77466,415066,Entire home/apt,MisericÌ_rdia,255,5,5,2,80
83615,184400,Entire home/apt,Estrela,15,4,4,1,93
83933,335614,Entire home/apt,SÌ£o Vicente,157,4.5,4,1,93
84599,181902,Entire home/apt,Santa Maria Maior,50,4.5,6,2,91
85270,383078,Entire home/apt,Santa Maria Maior,144,5,5,3,122
87723,480371,Entire home/apt,SÌ£o Vicente,27,4.5,6,2,115
88230,184400,Entire home/apt,Santa Maria Maior,3,5,6,3,173
88282,184400,Entire home/apt,Santo AntÌ_nio,1,0,4,1,87
88312,482911,Entire home/apt,Santo AntÌ_nio,37,5,4,2,75
88410,483396,Entire home/apt,SÌ£o Vicente,26,4.5,4,1,87
89015,485573,Entire home/apt,MisericÌ_rdia,11,5,4,2,115
90387,490050,Private room,Santo AntÌ_nio,204,5,2,1,46
90559,184400,Entire home/apt,Santo AntÌ_nio,2,0,4,1,87
90931,184400,Entire home/apt,Santo AntÌ_nio,14,4.5,4,2,104
93111,500020,Entire home/apt,Santa Maria Maior,285,5,2,1,52
93349,3897446,Entire home/apt,MisericÌ_rdia,6,4.5,4,1,95
93829,183877,Entire home/apt,SÌ£o Vicente,31,4.5,2,1,44
95212,502806,Entire home/apt,MisericÌ_rdia,61,5,6,3,98
